500170752 tokens | train_loss=4.1695 | val_loss=5.2984
1000079360 tokens | train_loss=3.6861 | val_loss=4.3011
1500250112 tokens | train_loss=4.2001 | val_loss=3.3060
2000158720 tokens | train_loss=3.5860 | val_loss=3.3138
2500067328 tokens | train_loss=3.6336 | val_loss=3.4551
3000238080 tokens | train_loss=3.8603 | val_loss=3.3526
3500146688 tokens | train_loss=4.0517 | val_loss=3.0155
4000055296 tokens | train_loss=3.4172 | val_loss=3.0336
4500226048 tokens | train_loss=3.2950 | val_loss=3.1605
5000134656 tokens | train_loss=3.7232 | val_loss=2.8172
5500043264 tokens | train_loss=3.7876 | val_loss=2.9414
6000214016 tokens | train_loss=3.3686 | val_loss=2.9187
6500122624 tokens | train_loss=3.2648 | val_loss=3.1640
7000031232 tokens | train_loss=3.7322 | val_loss=3.3347
7500201984 tokens | train_loss=3.3072 | val_loss=2.6929
8000110592 tokens | train_loss=3.3283 | val_loss=2.9251
8500019200 tokens | train_loss=3.3461 | val_loss=3.0491
9000189952 tokens | train_loss=3.6936 | val_loss=2.8088
9500098560 tokens | train_loss=3.3817 | val_loss=2.8929
10000007168 tokens | train_loss=3.3474 | val_loss=3.1248
10500177920 tokens | train_loss=3.1685 | val_loss=3.0771
11000086528 tokens | train_loss=3.7617 | val_loss=2.7864
11500257280 tokens | train_loss=3.2173 | val_loss=3.1245
12000165888 tokens | train_loss=3.3418 | val_loss=2.8726
12500074496 tokens | train_loss=3.4165 | val_loss=2.8876
13000245248 tokens | train_loss=3.5518 | val_loss=2.9753
13500153856 tokens | train_loss=3.3640 | val_loss=3.3255
14000062464 tokens | train_loss=3.1859 | val_loss=3.3011
14500233216 tokens | train_loss=3.5528 | val_loss=3.2910
15000141824 tokens | train_loss=3.2702 | val_loss=3.2590
15500050432 tokens | train_loss=3.2932 | val_loss=3.2696
16000221184 tokens | train_loss=3.4863 | val_loss=3.2916
16500129792 tokens | train_loss=3.7436 | val_loss=3.2407
17000038400 tokens | train_loss=3.2051 | val_loss=3.2389
17500209152 tokens | train_loss=3.1701 | val_loss=3.4742
18000117760 tokens | train_loss=3.4923 | val_loss=3.7379
18500026368 tokens | train_loss=3.4752 | val_loss=3.7241
19000197120 tokens | train_loss=3.2417 | val_loss=3.7329
19500105728 tokens | train_loss=3.3567 | val_loss=3.7274
20000014336 tokens | train_loss=3.8170 | val_loss=3.5854
20500185088 tokens | train_loss=3.2004 | val_loss=3.0576
21000093696 tokens | train_loss=3.1657 | val_loss=3.0448
21500002304 tokens | train_loss=3.0470 | val_loss=3.0330
22000173056 tokens | train_loss=3.5971 | val_loss=3.0572
22500081664 tokens | train_loss=3.1373 | val_loss=3.0672
23000252416 tokens | train_loss=3.1850 | val_loss=3.0496
23500161024 tokens | train_loss=3.3666 | val_loss=3.0370
24000069632 tokens | train_loss=3.5771 | val_loss=3.0425
24500240384 tokens | train_loss=3.1295 | val_loss=3.0232
25000148992 tokens | train_loss=3.0594 | val_loss=2.9877
25500057600 tokens | train_loss=3.6705 | val_loss=3.0144
26000228352 tokens | train_loss=3.1501 | val_loss=2.9943
26500136960 tokens | train_loss=3.1588 | val_loss=3.0053
27000045568 tokens | train_loss=2.9957 | val_loss=2.9811
27500216320 tokens | train_loss=3.4835 | val_loss=2.9957
28000124928 tokens | train_loss=3.1107 | val_loss=2.9824
28500033536 tokens | train_loss=3.2289 | val_loss=2.9744
29000204288 tokens | train_loss=3.0223 | val_loss=2.9790
29500112896 tokens | train_loss=3.7109 | val_loss=2.9947
30000021504 tokens | train_loss=3.5297 | val_loss=3.0020
