53500010496 tokens | train_loss=5.1363 | val_loss=3.5444
54000009216 tokens | train_loss=2.9835 | val_loss=3.5208
54500007936 tokens | train_loss=2.7986 | val_loss=3.5023
55000006656 tokens | train_loss=3.2046 | val_loss=3.4328
55500005376 tokens | train_loss=3.1972 | val_loss=3.4950
56000004096 tokens | train_loss=2.7466 | val_loss=3.4931
56500002816 tokens | train_loss=3.5723 | val_loss=3.4102
57000001536 tokens | train_loss=3.1281 | val_loss=3.4195
57500000256 tokens | train_loss=3.0508 | val_loss=3.4775
58000023552 tokens | train_loss=3.0590 | val_loss=3.4803
58500022272 tokens | train_loss=3.1582 | val_loss=3.4072
59000020992 tokens | train_loss=3.0933 | val_loss=3.4164
59500019712 tokens | train_loss=2.7755 | val_loss=3.4495
60000018432 tokens | train_loss=2.8118 | val_loss=3.4761
60500017152 tokens | train_loss=3.4702 | val_loss=3.3939
61000015872 tokens | train_loss=2.9669 | val_loss=3.4670
61500014592 tokens | train_loss=2.8501 | val_loss=3.4628
62000013312 tokens | train_loss=2.7619 | val_loss=3.4794
62500012032 tokens | train_loss=3.2582 | val_loss=3.3841
63000010752 tokens | train_loss=2.7807 | val_loss=3.4737
63500009472 tokens | train_loss=2.7984 | val_loss=3.4879
64000008192 tokens | train_loss=2.9423 | val_loss=3.4509
64500006912 tokens | train_loss=2.9693 | val_loss=3.4312
65000005632 tokens | train_loss=2.8607 | val_loss=3.4428
65500004352 tokens | train_loss=3.2823 | val_loss=3.4276
66000003072 tokens | train_loss=2.8581 | val_loss=3.6498
66500001792 tokens | train_loss=3.0682 | val_loss=3.3960
67000000512 tokens | train_loss=2.8943 | val_loss=3.4758
67500023808 tokens | train_loss=3.0656 | val_loss=3.4436
68000022528 tokens | train_loss=3.6981 | val_loss=3.2607
68500021248 tokens | train_loss=2.7800 | val_loss=3.2889
69000019968 tokens | train_loss=2.9401 | val_loss=3.4799
69500018688 tokens | train_loss=2.8091 | val_loss=3.4745
70000017408 tokens | train_loss=3.3080 | val_loss=3.2749
